Model: gemma_7b-instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 42554.37 seconds
Average inference time per article: 21.1 seconds
Inference times per article:
Article 365: 12.93 seconds
Article 366: 16.94 seconds
Article 367: 27.89 seconds
Article 368: 26.35 seconds
Article 369: 22.30 seconds
Article 370: 31.30 seconds
Article 371: 21.69 seconds
Article 372: 11.77 seconds
Article 373: 41.38 seconds
Article 374: 37.55 seconds
Article 375: 23.72 seconds
Article 376: 16.26 seconds
Article 377: 17.00 seconds
Article 378: 27.36 seconds
Article 379: 27.24 seconds
Article 380: 37.36 seconds
Article 381: 28.44 seconds
Article 382: 22.50 seconds
Article 383: 23.54 seconds
Article 384: 19.94 seconds
Article 385: 11.68 seconds
Article 386: 26.80 seconds
Article 387: 11.93 seconds
Article 388: 29.97 seconds
Article 389: 25.20 seconds
Article 390: 18.89 seconds
Article 391: 16.57 seconds
Article 392: 17.38 seconds
Article 393: 19.90 seconds
Article 394: 34.31 seconds
Article 395: 15.46 seconds
Article 396: 22.06 seconds
Article 397: 6.59 seconds
Article 398: 25.32 seconds
Article 399: 29.65 seconds
Article 400: 0.69 seconds
Article 401: 27.01 seconds
Article 402: 12.55 seconds
Article 403: 12.17 seconds
Article 404: 33.85 seconds
Article 405: 16.11 seconds
Article 406: 23.87 seconds
Article 407: 41.96 seconds
Article 408: 21.58 seconds
Article 409: 33.55 seconds
Article 410: 19.61 seconds
Article 411: 30.01 seconds
Article 412: 24.63 seconds
Article 413: 19.89 seconds
Article 414: 14.09 seconds
Article 415: 35.42 seconds
Article 416: 10.34 seconds
Article 417: 24.48 seconds
Article 418: 22.21 seconds
Article 419: 20.68 seconds
Article 420: 22.01 seconds
Article 421: 16.06 seconds
Article 422: 29.37 seconds
Article 423: 18.97 seconds
Article 424: 22.09 seconds
Article 425: 5.12 seconds
Article 426: 38.83 seconds
Article 427: 31.94 seconds
Article 428: 20.66 seconds
Article 429: 30.11 seconds
Article 430: 19.52 seconds
Article 431: 9.21 seconds
Article 432: 27.91 seconds
Article 433: 10.74 seconds
Article 434: 9.76 seconds
Article 435: 11.59 seconds
Article 436: 14.88 seconds
Article 437: 26.54 seconds
Article 438: 26.39 seconds
Article 439: 26.88 seconds
Article 440: 20.32 seconds
Article 441: 24.64 seconds
Article 442: 6.21 seconds
Article 443: 17.84 seconds
