Model: Mixtral-8x7B-Instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 63261.63 seconds
Average inference time per article: 31.5 seconds
Inference times per article:
Article 617: 31.63 seconds
Article 618: 35.49 seconds
Article 619: 15.85 seconds
Article 620: 39.67 seconds
Article 621: 26.83 seconds
Article 622: 46.91 seconds
Article 623: 24.02 seconds
Article 624: 44.46 seconds
Article 625: 45.47 seconds
Article 626: 39.11 seconds
Article 627: 38.96 seconds
Article 628: 8.52 seconds
Article 629: 41.72 seconds
Article 630: 24.00 seconds
Article 631: 35.70 seconds
Article 632: 34.22 seconds
Article 633: 35.05 seconds
Article 634: 38.05 seconds
Article 635: 28.68 seconds
Article 636: 25.86 seconds
Article 637: 36.03 seconds
Article 638: 33.59 seconds
Article 639: 34.22 seconds
Article 640: 35.97 seconds
Article 641: 16.28 seconds
Article 642: 31.87 seconds
Article 643: 31.39 seconds
Article 644: 20.64 seconds
Article 645: 18.55 seconds
Article 646: 45.27 seconds
Article 647: 17.96 seconds
Article 648: 20.72 seconds
Article 649: 36.04 seconds
Article 650: 36.97 seconds
Article 651: 33.00 seconds
Article 652: 41.05 seconds
Article 653: 15.06 seconds
Article 654: 26.45 seconds
Article 655: 22.32 seconds
Article 656: 26.28 seconds
Article 657: 53.53 seconds
Article 658: 31.64 seconds
Article 659: 35.89 seconds
Article 660: 32.52 seconds
Article 661: 28.79 seconds
Article 662: 38.73 seconds
Article 663: 32.15 seconds
Article 664: 30.05 seconds
Article 665: 44.84 seconds
Article 666: 22.79 seconds
Article 667: 29.19 seconds
Article 668: 12.95 seconds
Article 669: 10.78 seconds
Article 670: 16.79 seconds
Article 671: 34.35 seconds
Article 672: 31.60 seconds
Article 673: 34.62 seconds
Article 674: 34.43 seconds
Article 675: 32.42 seconds
Article 676: 18.80 seconds
Article 677: 28.02 seconds
Article 678: 41.42 seconds
Article 679: 26.55 seconds
Article 680: 32.84 seconds
Article 681: 41.58 seconds
Article 682: 29.87 seconds
Article 683: 40.05 seconds
Article 684: 44.77 seconds
Article 685: 27.79 seconds
Article 686: 33.79 seconds
Article 687: 37.81 seconds
Article 688: 20.95 seconds
Article 689: 24.22 seconds
Article 690: 28.13 seconds
Article 691: 28.28 seconds
Article 692: 21.26 seconds
Article 693: 28.81 seconds
Article 694: 27.77 seconds
Article 695: 20.09 seconds
Article 696: 32.84 seconds
Article 697: 49.06 seconds
Article 698: 19.39 seconds
Article 699: 27.92 seconds
Article 700: 32.45 seconds
Article 701: 37.58 seconds
Article 702: 32.61 seconds
Article 703: 22.05 seconds
Article 704: 42.01 seconds
Article 705: 17.69 seconds
Article 706: 25.38 seconds
Article 707: 29.27 seconds
Article 708: 52.12 seconds
Article 709: 38.69 seconds
Article 710: 35.91 seconds
Article 711: 34.99 seconds
Article 712: 38.63 seconds
Article 713: 42.39 seconds
Article 714: 40.76 seconds
Article 715: 42.31 seconds
Article 716: 28.37 seconds
Article 717: 29.57 seconds
Article 718: 30.17 seconds
Article 719: 32.77 seconds
Article 720: 26.01 seconds
Article 721: 27.52 seconds
