Model: Mixtral-8x7B-Instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 31482.17 seconds
Average inference time per article: 15.4 seconds
Inference times per article:
Article 560: 21.22 seconds
Article 561: 17.55 seconds
Article 562: 12.89 seconds
Article 563: 13.59 seconds
Article 564: 17.74 seconds
Article 565: 23.85 seconds
Article 566: 11.30 seconds
Article 567: 28.90 seconds
Article 568: 16.94 seconds
Article 569: 12.58 seconds
Article 570: 22.37 seconds
Article 571: 14.33 seconds
Article 572: 16.89 seconds
Article 573: 15.45 seconds
Article 574: 20.40 seconds
Article 575: 25.44 seconds
Article 576: 10.68 seconds
Article 577: 8.64 seconds
Article 578: 12.70 seconds
Article 579: 28.59 seconds
Article 580: 19.35 seconds
Article 581: 8.44 seconds
Article 582: 22.82 seconds
Article 583: 12.03 seconds
Article 584: 18.80 seconds
Article 585: 7.10 seconds
Article 586: 11.62 seconds
Article 587: 22.59 seconds
Article 588: 9.94 seconds
Article 589: 3.53 seconds
Article 590: 5.94 seconds
Article 591: 12.78 seconds
Article 592: 19.10 seconds
Article 593: 7.42 seconds
Article 594: 14.64 seconds
Article 595: 8.66 seconds
Article 596: 18.59 seconds
Article 597: 11.57 seconds
Article 598: 4.94 seconds
Article 599: 18.27 seconds
Article 600: 21.18 seconds
Article 601: 26.99 seconds
Article 602: 16.53 seconds
Article 603: 17.48 seconds
Article 604: 5.18 seconds
Article 605: 11.97 seconds
Article 606: 2.44 seconds
Article 607: 31.10 seconds
Article 608: 22.13 seconds
Article 609: 18.34 seconds
Article 610: 14.49 seconds
Article 611: 27.27 seconds
Article 612: 8.36 seconds
Article 613: 9.75 seconds
Article 614: 32.77 seconds
Article 615: 22.34 seconds
Article 616: 15.05 seconds
Article 617: 20.99 seconds
Article 618: 1.00 seconds
Article 619: 35.65 seconds
Article 620: 8.92 seconds
Article 621: 14.21 seconds
Article 622: 20.89 seconds
Article 623: 15.62 seconds
Article 624: 1.64 seconds
Article 625: 16.11 seconds
Article 626: 9.32 seconds
Article 627: 14.61 seconds
Article 628: 20.56 seconds
Article 629: 21.02 seconds
Article 630: 6.23 seconds
Article 631: 2.41 seconds
Article 632: 38.16 seconds
Article 633: 2.61 seconds
Article 634: 7.84 seconds
Article 635: 15.95 seconds
Article 636: 11.96 seconds
Article 637: 13.14 seconds
Article 638: 7.24 seconds
Article 639: 9.21 seconds
Article 640: 10.24 seconds
Article 641: 19.16 seconds
Article 642: 14.26 seconds
Article 643: 26.63 seconds
Article 644: 19.88 seconds
Article 645: 18.13 seconds
Article 646: 15.31 seconds
Article 647: 18.41 seconds
Article 648: 10.08 seconds
Article 649: 10.41 seconds
Article 650: 31.16 seconds
Article 651: -0.12 seconds
Article 652: 1.84 seconds
Article 653: 15.96 seconds
Article 654: 9.35 seconds
Article 655: 12.68 seconds
Article 656: 27.43 seconds
Article 657: 1.04 seconds
Article 658: 1.83 seconds
Article 659: 23.48 seconds
Article 660: 10.27 seconds
Article 661: 38.53 seconds
Article 662: 23.09 seconds
Article 663: 23.97 seconds
Article 664: 13.27 seconds
Article 665: 5.97 seconds
Article 666: 22.92 seconds
Article 667: 14.18 seconds
Article 668: 2.45 seconds
Article 669: 20.51 seconds
Article 670: 24.26 seconds
Article 671: 11.74 seconds
Article 672: 30.01 seconds
Article 673: 17.45 seconds
Article 674: 14.97 seconds
Article 675: 5.14 seconds
