Model: gemma_7b-instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 21681.65 seconds
Average inference time per article: 10.2 seconds
Inference times per article:
Article 492: 27.91 seconds
Article 493: 10.83 seconds
Article 494: 0.00 seconds
Article 495: 9.52 seconds
Article 496: 0.00 seconds
Article 497: 9.70 seconds
Article 498: 0.00 seconds
Article 499: 0.00 seconds
Article 500: 18.14 seconds
Article 501: 0.00 seconds
Article 502: 15.33 seconds
Article 503: 17.40 seconds
Article 504: 13.74 seconds
Article 505: 0.00 seconds
Article 506: 3.07 seconds
Article 507: 10.62 seconds
Article 508: 10.84 seconds
Article 509: 7.29 seconds
Article 510: 10.46 seconds
Article 511: 3.89 seconds
Article 512: 0.00 seconds
Article 513: 29.64 seconds
Article 514: 9.84 seconds
Article 515: 19.88 seconds
Article 516: 1.87 seconds
Article 517: 7.51 seconds
Article 518: 0.35 seconds
Article 519: 16.32 seconds
Article 520: 6.36 seconds
Article 521: 7.63 seconds
Article 522: 19.26 seconds
Article 523: 9.46 seconds
Article 524: 16.65 seconds
Article 525: 6.54 seconds
Article 526: 3.43 seconds
Article 527: 0.00 seconds
Article 528: 5.98 seconds
Article 529: 7.08 seconds
Article 530: 13.73 seconds
Article 531: 0.00 seconds
Article 532: 13.53 seconds
Article 533: 19.59 seconds
Article 534: 16.86 seconds
Article 535: 22.30 seconds
Article 536: 4.47 seconds
Article 537: 17.31 seconds
Article 538: 22.32 seconds
Article 539: 26.81 seconds
Article 540: 0.00 seconds
Article 541: 0.00 seconds
Article 542: 14.21 seconds
Article 543: 3.11 seconds
Article 544: 4.63 seconds
Article 545: 7.22 seconds
Article 546: 8.57 seconds
Article 547: 7.26 seconds
Article 548: 10.43 seconds
Article 549: 26.17 seconds
Article 550: 0.00 seconds
Article 551: 0.00 seconds
Article 552: 8.40 seconds
Article 553: 12.45 seconds
Article 554: 18.23 seconds
Article 555: 5.71 seconds
Article 556: 0.12 seconds
Article 557: 13.03 seconds
Article 558: 13.19 seconds
Article 559: 10.10 seconds
Article 560: 22.28 seconds
Article 561: 19.41 seconds
Article 562: 5.10 seconds
Article 563: 5.22 seconds
Article 564: 15.84 seconds
Article 565: 26.49 seconds
Article 566: 3.19 seconds
Article 567: 7.43 seconds
Article 568: 9.89 seconds
Article 569: 5.26 seconds
Article 570: 7.78 seconds
Article 571: 7.50 seconds
Article 572: 17.32 seconds
Article 573: 40.48 seconds
Article 574: 0.00 seconds
Article 575: 1.99 seconds
Article 576: 17.74 seconds
Article 577: 1.56 seconds
Article 578: 21.57 seconds
Article 579: 1.21 seconds
Article 580: 15.96 seconds
Article 581: 8.77 seconds
Article 582: 7.94 seconds
Article 583: 13.62 seconds
Article 584: 4.90 seconds
Article 585: 0.00 seconds
Article 586: 4.08 seconds
Article 587: 2.21 seconds
Article 588: 0.00 seconds
Article 589: 24.50 seconds
Article 590: 3.17 seconds
Article 591: 11.59 seconds
Article 592: 9.00 seconds
Article 593: 3.55 seconds
Article 594: 30.12 seconds
Article 595: 0.00 seconds
