Model: gemma_7b-instruct
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 47553.49 seconds
Average inference time per article: 23.8 seconds
Inference times per article:
Article 530: 16.96 seconds
Article 531: 32.54 seconds
Article 532: 10.54 seconds
Article 533: 21.44 seconds
Article 534: 27.56 seconds
Article 535: 33.73 seconds
Article 536: 7.12 seconds
Article 537: 28.93 seconds
Article 538: 11.68 seconds
Article 539: 28.02 seconds
Article 540: 26.12 seconds
Article 541: 51.30 seconds
Article 542: 40.92 seconds
Article 543: 24.21 seconds
Article 544: 14.81 seconds
Article 545: 33.88 seconds
Article 546: 15.69 seconds
Article 547: 23.53 seconds
Article 548: 21.28 seconds
Article 549: 20.74 seconds
Article 550: 19.02 seconds
Article 551: 20.11 seconds
Article 552: 18.47 seconds
Article 553: 11.02 seconds
Article 554: 38.50 seconds
Article 555: 16.65 seconds
Article 556: 15.92 seconds
Article 557: 36.00 seconds
Article 558: 1.29 seconds
Article 559: 34.03 seconds
Article 560: 16.02 seconds
Article 561: 34.20 seconds
Article 562: 18.43 seconds
Article 563: 19.14 seconds
Article 564: 24.44 seconds
Article 565: 19.87 seconds
Article 566: 40.06 seconds
Article 567: 29.91 seconds
Article 568: 22.99 seconds
Article 569: 19.97 seconds
Article 570: 30.91 seconds
Article 571: 24.88 seconds
Article 572: 14.13 seconds
Article 573: 9.77 seconds
Article 574: 25.67 seconds
Article 575: 32.32 seconds
Article 576: 19.11 seconds
Article 577: 26.09 seconds
Article 578: 23.92 seconds
Article 579: 31.05 seconds
Article 580: 16.70 seconds
Article 581: 23.99 seconds
Article 582: 25.60 seconds
Article 583: 41.73 seconds
Article 584: 24.67 seconds
Article 585: 4.90 seconds
Article 586: 18.41 seconds
Article 587: 7.00 seconds
Article 588: 10.89 seconds
Article 589: 23.90 seconds
Article 590: 22.88 seconds
Article 591: 26.02 seconds
Article 592: 16.02 seconds
Article 593: 27.06 seconds
Article 594: 16.97 seconds
Article 595: 25.21 seconds
Article 596: 16.78 seconds
Article 597: 32.16 seconds
Article 598: 28.07 seconds
Article 599: 12.29 seconds
Article 600: 27.42 seconds
Article 601: 31.63 seconds
Article 602: 17.06 seconds
Article 603: 35.50 seconds
Article 604: 14.20 seconds
Article 605: 16.33 seconds
Article 606: 2.08 seconds
Article 607: 22.60 seconds
Article 608: 21.90 seconds
Article 609: 29.92 seconds
Article 610: 29.84 seconds
Article 611: 13.65 seconds
Article 612: 27.86 seconds
Article 613: 34.48 seconds
Article 614: 20.47 seconds
Article 615: 17.45 seconds
Article 616: 37.09 seconds
Article 617: 25.33 seconds
Article 618: 23.34 seconds
Article 619: 22.80 seconds
Article 620: 22.23 seconds
Article 621: 19.55 seconds
Article 622: 27.89 seconds
Article 623: 14.44 seconds
Article 624: 22.67 seconds
Article 625: 11.76 seconds
Article 626: 3.82 seconds
Article 627: 24.23 seconds
Article 628: 23.47 seconds
Article 629: 41.52 seconds
Article 630: 35.74 seconds
Article 631: 22.69 seconds
Article 632: 23.97 seconds
Article 633: 28.09 seconds
Article 634: 29.21 seconds
Article 635: 42.01 seconds
Article 636: 27.97 seconds
Article 637: 27.82 seconds
Article 638: 24.49 seconds
Article 639: 9.31 seconds
Article 640: 4.26 seconds
Article 641: 30.84 seconds
Article 642: 20.89 seconds
Article 643: 32.25 seconds
Article 644: 18.80 seconds
Article 645: 24.19 seconds
Article 646: 38.63 seconds
Article 647: 20.82 seconds
Article 648: 14.49 seconds
Article 649: 7.89 seconds
Article 650: 1.91 seconds
Article 651: 20.17 seconds
Article 652: 13.58 seconds
Article 653: 20.80 seconds
Article 654: 1.56 seconds
Article 655: 17.55 seconds
Article 656: 22.01 seconds
Article 657: 22.37 seconds
Article 658: 13.67 seconds
Article 659: 31.03 seconds
Article 660: 28.14 seconds
Article 661: 43.24 seconds
Article 662: 26.99 seconds
Article 663: 29.94 seconds
Article 664: 12.23 seconds
Article 665: 23.70 seconds
Article 666: 28.48 seconds
Article 667: 0.00 seconds
Article 668: 23.50 seconds
Article 669: 27.98 seconds
Article 670: 16.09 seconds
Article 671: 18.77 seconds
Article 672: 35.21 seconds
Article 673: 45.99 seconds
Article 674: 23.00 seconds
Article 675: 8.64 seconds
Article 676: 15.15 seconds
Article 677: 29.01 seconds
Article 678: 30.97 seconds
Article 679: 24.44 seconds
Article 680: 30.34 seconds
Article 681: 13.70 seconds
Article 682: 15.59 seconds
Article 683: 36.81 seconds
Article 684: 29.41 seconds
Article 685: 26.12 seconds
Article 686: 12.87 seconds
Article 687: 5.40 seconds
Article 688: 13.40 seconds
Article 689: 27.62 seconds
Article 690: 10.79 seconds
Article 691: 21.85 seconds
Article 692: 15.75 seconds
Article 693: 31.86 seconds
Article 694: 4.80 seconds
Article 695: 5.42 seconds
Article 696: 20.31 seconds
Article 697: 11.05 seconds
Article 698: 34.31 seconds
Article 699: 57.25 seconds
Article 700: 12.35 seconds
Article 701: 28.23 seconds
Article 702: 50.25 seconds
Article 703: 29.04 seconds
Article 704: 21.07 seconds
Article 705: 13.06 seconds
Article 706: 18.20 seconds
Article 707: 29.01 seconds
Article 708: 21.92 seconds
Article 709: 19.68 seconds
Article 710: 29.02 seconds
Article 711: 30.97 seconds
Article 712: 43.45 seconds
