Model: Mixtral-8x7B-Instruct
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 73625.13 seconds
Average inference time per article: 36.81 seconds
Inference times per article:
Article 465: 39.58 seconds
Article 466: 40.60 seconds
Article 467: 17.99 seconds
Article 468: 29.36 seconds
Article 469: 35.57 seconds
Article 470: 34.48 seconds
Article 471: 50.40 seconds
Article 472: 32.60 seconds
Article 473: 22.16 seconds
Article 474: 40.89 seconds
Article 475: 53.88 seconds
Article 476: 68.85 seconds
Article 477: 36.75 seconds
Article 478: 23.96 seconds
Article 479: 23.85 seconds
Article 480: 33.42 seconds
Article 481: 33.48 seconds
Article 482: 32.51 seconds
Article 483: 33.35 seconds
Article 484: 49.53 seconds
Article 485: 31.12 seconds
Article 486: 44.89 seconds
Article 487: 40.97 seconds
Article 488: 37.39 seconds
Article 489: 41.88 seconds
Article 490: 53.01 seconds
Article 491: 51.94 seconds
Article 492: 34.42 seconds
Article 493: 48.10 seconds
Article 494: 27.90 seconds
Article 495: 38.32 seconds
Article 496: 28.84 seconds
Article 497: 27.30 seconds
Article 498: 47.05 seconds
Article 499: 50.55 seconds
Article 500: 49.23 seconds
Article 501: 42.59 seconds
Article 502: 39.38 seconds
Article 503: 41.00 seconds
Article 504: 50.80 seconds
Article 505: 35.09 seconds
Article 506: 54.71 seconds
Article 507: 33.94 seconds
Article 508: 32.90 seconds
Article 509: 17.51 seconds
Article 510: 46.58 seconds
Article 511: 30.00 seconds
Article 512: 22.00 seconds
Article 513: 26.75 seconds
Article 514: 33.61 seconds
Article 515: 29.68 seconds
Article 516: 24.58 seconds
Article 517: 30.71 seconds
Article 518: 34.14 seconds
Article 519: 43.27 seconds
Article 520: 21.19 seconds
Article 521: 37.20 seconds
Article 522: 28.09 seconds
Article 523: 38.60 seconds
Article 524: 43.49 seconds
Article 525: 43.70 seconds
Article 526: 37.00 seconds
Article 527: 41.41 seconds
Article 528: 38.17 seconds
Article 529: 40.70 seconds
Article 530: 59.71 seconds
Article 531: 34.44 seconds
Article 532: 42.22 seconds
Article 533: 35.91 seconds
Article 534: 36.45 seconds
Article 535: 20.22 seconds
Article 536: 40.13 seconds
Article 537: 28.28 seconds
Article 538: 51.91 seconds
Article 539: 32.42 seconds
Article 540: 53.69 seconds
Article 541: 24.75 seconds
Article 542: 36.56 seconds
Article 543: 41.06 seconds
Article 544: 24.86 seconds
Article 545: 40.43 seconds
Article 546: 59.42 seconds
Article 547: 25.10 seconds
Article 548: 33.07 seconds
Article 549: 48.43 seconds
Article 550: 28.06 seconds
Article 551: 24.01 seconds
Article 552: 37.08 seconds
Article 553: 42.98 seconds
Article 554: 41.54 seconds
Article 555: 42.51 seconds
Article 556: 33.96 seconds
Article 557: 25.55 seconds
Article 558: 51.02 seconds
Article 559: 35.13 seconds
Article 560: 25.17 seconds
Article 561: 41.55 seconds
Article 562: 35.14 seconds
Article 563: 50.46 seconds
Article 564: 32.63 seconds
Article 565: 48.16 seconds
Article 566: 27.72 seconds
Article 567: 47.08 seconds
Article 568: 36.54 seconds
Article 569: 40.62 seconds
Article 570: 36.75 seconds
Article 571: 51.23 seconds
Article 572: 52.21 seconds
Article 573: 36.34 seconds
Article 574: 37.64 seconds
Article 575: 40.97 seconds
Article 576: 30.38 seconds
Article 577: 30.24 seconds
Article 578: 28.23 seconds
Article 579: 21.91 seconds
Article 580: 35.83 seconds
Article 581: 48.76 seconds
Article 582: 55.31 seconds
Article 583: 48.01 seconds
Article 584: 25.97 seconds
Article 585: 36.41 seconds
Article 586: 35.23 seconds
Article 587: 25.66 seconds
Article 588: 33.59 seconds
Article 589: 31.48 seconds
Article 590: 35.98 seconds
Article 591: 20.68 seconds
Article 592: 32.89 seconds
Article 593: 23.39 seconds
Article 594: 25.59 seconds
Article 595: 34.55 seconds
Article 596: 19.99 seconds
Article 597: 36.94 seconds
Article 598: 53.85 seconds
Article 599: 33.41 seconds
Article 600: 24.01 seconds
Article 601: 40.28 seconds
Article 602: 47.29 seconds
Article 603: 36.61 seconds
Article 604: 20.12 seconds
Article 605: 41.44 seconds
Article 606: 41.34 seconds
Article 607: 46.62 seconds
Article 608: 48.70 seconds
Article 609: 35.19 seconds
Article 610: 43.72 seconds
Article 611: 12.71 seconds
Article 612: 51.50 seconds
Article 613: 34.30 seconds
Article 614: 30.10 seconds
Article 615: 37.65 seconds
Article 616: 37.90 seconds
Article 617: 20.97 seconds
Article 618: 38.17 seconds
Article 619: 57.18 seconds
Article 620: 41.59 seconds
Article 621: 38.38 seconds
Article 622: 33.36 seconds
Article 623: 35.62 seconds
Article 624: 25.95 seconds
Article 625: 22.83 seconds
Article 626: 43.64 seconds
Article 627: 42.82 seconds
Article 628: 59.05 seconds
Article 629: 31.26 seconds
Article 630: 19.77 seconds
Article 631: 41.49 seconds
Article 632: 5.24 seconds
Article 633: 48.85 seconds
Article 634: 16.21 seconds
Article 635: 29.87 seconds
Article 636: 51.94 seconds
Article 637: 36.84 seconds
Article 638: 43.91 seconds
Article 639: 39.41 seconds
Article 640: 38.95 seconds
Article 641: 33.55 seconds
Article 642: 27.40 seconds
Article 643: 47.76 seconds
Article 644: 39.19 seconds
Article 645: 54.71 seconds
Article 646: 55.90 seconds
Article 647: 30.65 seconds
Article 648: 33.14 seconds
Article 649: 40.96 seconds
Article 650: 18.69 seconds
Article 651: 49.53 seconds
Article 652: 42.70 seconds
Article 653: 33.98 seconds
Article 654: 42.85 seconds
Article 655: 13.87 seconds
Article 656: 28.73 seconds
Article 657: 31.28 seconds
Article 658: 21.50 seconds
Article 659: 45.39 seconds
Article 660: 33.24 seconds
Article 661: 42.68 seconds
Article 662: 15.86 seconds
Article 663: 47.26 seconds
Article 664: 33.28 seconds
Article 665: 31.15 seconds
Article 666: 58.52 seconds
Article 667: 26.58 seconds
Article 668: 39.10 seconds
Article 669: 25.67 seconds
Article 670: 38.22 seconds
Article 671: 37.68 seconds
Article 672: 34.94 seconds
Article 673: 20.74 seconds
Article 674: 40.53 seconds
Article 675: 30.23 seconds
Article 676: 38.95 seconds
Article 677: 29.49 seconds
Article 678: 37.09 seconds
Article 679: 29.03 seconds
Article 680: 37.32 seconds
